epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.641,0.77571,1.93296,1.20973,1,0.04949,0.65484,0.42201,0.91076,2.76994,1.42489,0.000410354,0.000410354,0.000410354
2,57.7908,0.96271,1.50446,1.32155,0.50047,0.46119,0.44162,0.2454,1.51087,2.22559,2.39841,0.000818833,0.000818833,0.000818833
3,86.7077,1.0677,1.52019,1.39573,0.55623,0.4508,0.47724,0.29589,1.22053,2.16128,1.78086,0.00121906,0.00121906,0.00121906
4,115.518,1.05294,1.44671,1.38572,0.55979,0.50152,0.5225,0.31559,1.29452,2.46474,1.79687,0.00121287,0.00121287,0.00121287
5,144.413,1.05008,1.34205,1.37654,0.8104,0.71029,0.80281,0.52904,1.13665,1.23657,1.64639,0.0012005,0.0012005,0.0012005
6,173.81,0.9987,1.2057,1.3356,0.78411,0.81749,0.86055,0.59204,1.05395,1.0706,1.46127,0.00118812,0.00118812,0.00118812
7,203.077,0.97723,1.17245,1.32679,0.7965,0.73267,0.81195,0.56654,1.03519,1.13923,1.47428,0.00117575,0.00117575,0.00117575
8,232.057,0.95292,1.09413,1.31443,0.7948,0.80103,0.86787,0.62015,1.00838,0.98501,1.4023,0.00116337,0.00116337,0.00116337
9,260.937,0.94707,1.02005,1.29228,0.82,0.72204,0.8154,0.56655,1.0277,1.12171,1.49329,0.001151,0.001151,0.001151
10,290.116,0.90692,0.99012,1.2846,0.82221,0.79943,0.87608,0.62986,0.93261,0.93189,1.36203,0.00113863,0.00113863,0.00113863
11,319.47,0.8799,0.95041,1.25988,0.88678,0.80677,0.89856,0.66143,0.91456,0.84112,1.36994,0.00112625,0.00112625,0.00112625
12,348.845,0.88279,0.91892,1.26888,0.89875,0.83617,0.91057,0.68555,0.86421,0.77231,1.30913,0.00111388,0.00111388,0.00111388
13,378.528,0.87804,0.93309,1.25188,0.83974,0.76054,0.88346,0.65882,0.87344,0.89313,1.32269,0.0011015,0.0011015,0.0011015
14,407.777,0.8347,0.84495,1.21908,0.90067,0.83575,0.91399,0.69567,0.81943,0.7561,1.27467,0.00108913,0.00108913,0.00108913
15,437.218,0.82954,0.84812,1.22194,0.84662,0.86158,0.92439,0.70613,0.82208,0.74941,1.25581,0.00107675,0.00107675,0.00107675
16,466.545,0.82797,0.83368,1.21917,0.86866,0.83944,0.91691,0.69555,0.8287,0.73215,1.23921,0.00106437,0.00106437,0.00106437
17,495.967,0.81766,0.81337,1.2015,0.84467,0.84116,0.91573,0.72115,0.78421,0.71775,1.22137,0.001052,0.001052,0.001052
